date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:13	233800/233800	---M-Z	200	added ('OK')	application/javascript	etag:W/%22609f17cc-39148%22	https://mteyt.com/js/landio.min.js	C:/My%20Web%20Sites/mte/mteyt.com/js/landio.min.js	(from https://mteyt.com/)
19:54:14	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Jun%202021%2007:54:14%20GMT	https://www.googletagmanager.com/robots.txt		(from https://mteyt.com/)
19:54:14	5884/5884	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22609f17cc-16fc%22	https://mteyt.com/css/fonts/icomoon.eot?-fnljg0	C:/My%20Web%20Sites/mte/mteyt.com/css/fonts/icomoon9777.eot	(from https://mteyt.com/css/landio.css)
19:54:14	5884/5884	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22609f17cc-16fc%22	https://mteyt.com/css/fonts/icomoon.eot?	C:/My%20Web%20Sites/mte/mteyt.com/css/fonts/icomoond41d.eot	(from https://mteyt.com/css/landio.css)
19:54:15	5720/5720	---M-Z	200	added ('OK')	font/ttf	etag:W/%22609f17cc-1658%22	https://mteyt.com/css/fonts/icomoon.ttf?-fnljg0	C:/My%20Web%20Sites/mte/mteyt.com/css/fonts/icomoon9777.ttf	(from https://mteyt.com/css/landio.css)
19:54:15	5796/5796	---M--	200	added ('OK')	font/woff	etag:%22609f17cc-16a4%22	https://mteyt.com/css/fonts/icomoon.woff?-fnljg0	C:/My%20Web%20Sites/mte/mteyt.com/css/fonts/icomoon9777.woff	(from https://mteyt.com/css/landio.css)
19:54:15	18735/18735	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22609f17cc-492f%22	https://mteyt.com/css/fonts/icomoon.svg?-fnljg0	C:/My%20Web%20Sites/mte/mteyt.com/css/fonts/icomoon9777.svg	(from https://mteyt.com/css/landio.css)
19:54:16	124962/124962	---M-Z	200	added ('OK')	text/css	etag:W/%22609f17cc-1e822%22	https://mteyt.com/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/mte/mteyt.com/vendor/bootstrap/css/bootstrap.min.css	(from https://mteyt.com/discord)
19:54:16	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%22609f17cc-7918%22	https://mteyt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/mte/mteyt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://mteyt.com/discord)
19:54:16	70815/70815	---M-Z	200	added ('OK')	text/css	etag:W/%22609f17cc-1149f%22	https://mteyt.com/fonts/iconic/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/mte/mteyt.com/fonts/iconic/css/material-design-iconic-font.min.css	(from https://mteyt.com/discord)
